,Song Title,Artist,Date Reached #1,Lyrics
And even the 2 Live Crew!
So all you right-wingers, left-wingers
Bigots, Communists, there IS a place for you in this world!
Because this is the land of the free, the home of the brave
And 2 Live is what we are!"
21,Call Me D-Nice,D-Nice,"September 1, 1990","[Intro: D Nice (Sample)]
(My name is D Nice, my name is D Nice
My name, my name is D Nice
My name is D Nice
Taking out you suckers and you don't know how I did it)
Yo, this is D-Nice and I'm about to drop some funky lyrics on this track I made up, you know what I'm saying, huh, yea and you don't stop, yo

[Verse 1: D Nice]
My name is D-Nice although I hate to admit it
Taking out you suckers and you don't know how I did it
See every episode remains in this mode
Very cool, very calm, there's no sweat in my palm
I just pick up the mic, proceed with a song
I get right to the point, my competition's not long or short
It's like a sport hanging in the middle
But now if you're puzzled, let me kick the whole riddle
That my name is Derrick and if I didn't mention
D-Nice is just a description
It describes the kid on the mic
I'm the TR-808, huh, but just call me D-Nice

[Chorus]
My name is D Nice
Take, ta-take, taking out you suckers and you don't know how I did it

[Verse 2: D Nice]
I start to think, a very big conscious all around me
Who will be the sucker MC to try to doubt me
Is it you, or you, or you, or you, or him
But I'm like a tree and every lyric is a limb
You throw it on the turntable, very unstable
But you gamble because you need that example
There's a 1000 MC's on the planet earth now
What is the word you say to get hers
Some like to explain, some talk educated
Some like McBoo, he's X-rated
I like to think of myself as a pure rebel
A radical thinker on a musical level
Cause suckers want to stop me and girls want to kiss
Wherever I go, yo, it seems I can't be dissed
Cause my name is D-Nice but all the girls call me Derrick
It ran through my crew so I guess I've inherit
The job of explaining and also retaining
The fact D-Nice is remaining
Not a king nor a prince but as a teacher
With dope beats like this, I know I'm gonna reach ya
So now I don't think you should all despise
This fact D-Nice is on a rise
Straight to the top like a bubble of water
It's a slaughter so I think you oughta
Think realistically, not egotistically
It's suicide if you even think of dissing me
Cause if you try, I'm a make you wait
To learn the reason I'm the 808, but just call me D-Nice

[Chorus]

[Verse 3: D Nice]
I live in the Bronx by the D and the 4
Writing lyrics, it's addictive, writing more and more and more
About peace, about wars, about whores
Breaking city laws to me become a chore
I wear no jeri curls but I still pull girls
I don't slur my words when I rap cause that's wack, huh
But in fact, I do not slack
When I drop the funky, funky lyric on a track
I'm not conceited when I walk the streets
And you can tell by the words that I speak
That I'm not just another brother on the mic
Cause the females love me and they call me D-Nice

[Chorus]"
22,Treat Them Like They Want to Be Treated,Father MC,"September 29, 1990","[Chorus: Jodeci]
Treat 'em like they wanna be treated
You should treat 'em right
Treat 'em like they wanna be treated
You should treat 'em right
Treat 'em like they wanna be treated
You should treat 'em right
Treat 'em like they wanna be treated
You should treat 'em right

[Interlude: K-Ci]
What you need to do...
You should treat them right
Oh

[Chorus: Jodeci]
Treat 'em like they wanna be treated
You should treat 'em right
Treat 'em like they wanna be treated
You should treat 'em right

[Verse 1: Father MC]
Why girls play with my feelings?
I don't know, so that's why I ask
Maybe it's true that I set myself up
But then again, it's the question I asked
I want someone for me who is straight
A kind of cutie, yes, yep, a smart mate
I've been around searching for the right one
But it seems like a waste of my time
Every time that I meet the right one
It seems as if she plays with my mind
So it makes me on the defense side
Because my offense is sort of slow
It doesn't pay to tell someone ""I love you""
Because in my vocab ""I love you"" is a no no
I think I give in. My feelings, they show
I think I'd better not look back
I've been down a little too long
And now it's time that I get on track
So I must...

[Chorus: Jodeci & K-Ci]
Treat 'em like they wanna be treated
(What you need to do)
Treat 'em like they wanna be treated
(You should treat them right)
You should treat 'em right

[Verse 2: Father MC & JoJo]
I like to mingle when I do mingle
I love to mingle when I do flirt
I get off hand and tell the stories
About my past and that's when it hurts
But I need to find for me a lonesome lady type
Who wants me for self
A woman who wants me because of Father
Not for the fame or for my wealth
So I can (Show her how I feel)
Yeah, ladies I'm not that picky
But being picky is just for self
I must protect what I respect
And that is me and not someone else
I've been mistreated up on the downhill
Back in the days I used to be strong
I used to flirt, hurt, kind of jerk
Get the cash, the sex then I'm gone
But payback is a mother
And now I don't know who to trust
So I just...

[Chorus: Jodeci & K-Ci]
Treat 'em like they wanna be treated
(That's all you need to do)
You should treat 'em right

[Interlude: Father MC & K-Ci]
Yeah (Ooh yeah)
You know, women, yeah, they tell me I'm lovely and cuddly
(Treat 'em like they wanna be treated)
But I just don't understand why they want to play with my feelings
(Treat 'em like they wanna be treated)
But it won't happen again
Nah, never
(No no no no no, no no no no no, no no no no)

[Verse 3: Father MC]
So, listen ladies I'll treat you
How you treat me back in return
I'm not rude, no, I'm not stuck up
But my feelings are my main concern
So don't think that I'd give in
Because now I know how to show
My feelings when I get involved
I'll take it slow before I say ""Oh, no""
I'll treat you like you treat me
I'll be straight loyal and all
So don't take advantage of Father
Because I'll step, walk but not crawl
So, give me what you can give me
Love, attention, a lot of respect
I don't ask for a whole lot
But I'm gone if you wanna step
That's why I like to take it slow
Not rush because I want more
The next time that I fall in love
Hmm, you best I'll be sure

[Chorus: Jodeci & K-Ci]
(I'm gonna treat you...)
Treat 'em like they wanna be treated
You should treat 'em right

[Interlude over Chorus: Father MC]
So ladies, now y'all know how I'm living
And y'all know what I'm about
And that's the end
So if you feel you can commit, come and give it a shot

[Chorus: Jodeci & K-Ci]
Treat 'em like they wanna be treated
You should treat 'em right
Treat 'em like they wanna be treated
(I love you, baby)
You should treat 'em right
(I need you, baby; I gotta have you)

[Outro: K-Ci & JoJo]
I need you, baby; I gotta have you
Yes, I do, baby
Every hour of the day, every day of the week, baby
Ah yeah, ah yeah
Baby, yeah; baby, yeah; baby, yeah
Baby, yeah (Baby, yeah); baby, yeah (Baby, yeah); baby, yeah (Baby, yeah)
Baby, yeah (Oh), oh oh
I'm gonna treat you (I'm gonna treat you)
I'm gonna treat you (I'm gonna love you)
I wanna love you (I wanna love you)
Every day, every hour
Oh baby, ba-b-b-baby, b-b-baby (Baby)
Yeah, yeah, yeah, yeah, yeah
Oh yeah (Treat 'em like)
Treat 'em like, treat 'em like"
23,The Boomin' System,LL Cool J,"October 6, 1990","[Intro]
Just kick a little something for them cars that be bumping
Yeah, aight, but we need a beat that they can front to
Oh, that'll work, be funky
You know what I'm sayin'?
(Cars ride by with the boomin' systems)
(Cars ride by)
(Cars ride by with the boomin' systems)
Funky
(Cars ride by)
For all the cars out there
(Cars ride by with the boomin' systems)
And all the brothers
That like to front in their rides
(Cars ride by)
Check it out

[Verse 1]
You know it's funky, funky, funky 'cause you heard it from hearsay
A jam that you love that don't be gettin' no airplay
Strictly for frontin' when you're ridin' around
12 o'clock at night with your windows down
Headlights breakin' 'cause your batteries drain
Armor All on your tires and a big gold chain
Parkin outside of all the hip-hop spots
Push the E-Q and play connect the dots
Leanin to the side, people everywhere
The trunk full of amps, there ain't no room for a spare
Big beats bumpin' with the bass in back
All the sophisticated suckers catch a heart attack
'Cause they don't understand why I act this way
Pumpin' up the funky beat until the break of day
It's because I want attention when I'm ridin' by
And the girls be on my jock 'cause my system's fly

[Chorus]
(Cars ride by with the boomin' systems)
(Cars ride by with the boomin' systems)
(Cars ride by with the boomin' systems)
(Cars ride by with the boomin' systems)

[Verse 2]
Girlies wanna ride with a brother like me
'Cause they be hear me gettin' funky frequently
They tell me don't drink and drive, I say what is this
Mind your business
Now pass it around
Laid back, hypnotized by the funky sound
People in the street see me bobbin my head
While I'm checkin' out the rapper and the rhyme that he said
I'm frontin', and I don't care if you know
The backseat of my car is like a disco show
You would think I was a good friend of Al Capone
Crazy air freshener, who needs cologne?
Bottom to the bottom to the top to the top
Cruise, it's 3 o'clock
The girlies, they smile, they see me comin'
I'm steady hummin, I got the Funky Drummer drumming
My trunk be shakin', vibratin' and rattlin'
Pumpin so loud, all the shorties be babblin'
My right-hand man's here without the swing
Every chance I get I'm showin' off my rings
I can keep it up until the break of dawn
'Cause I'm frontin' in my ride and my word is bond

[Chorus]
(Cars ride by with the boomin' systems)
(Cars ride by with the boomin' systems)
(Cars ride by with the boomin' systems)
(Cars ride by with the boomin' systems)

[Verse 3]
Sunroof open, so I can feel the wind blow
I don't give a damn if it cracks my back window
C to the O to the O to the L to the I to the N
To the F to the R to the O to the N to the T to the I to the N
That means I'm chillin'
Like Spoonie Gee said, my seats are soft like a bed
They recline way back, so I can get real cozy
I got the gangster tapes in the place
Like a basehead would say: I want BASS
I want a hit, I want a dose
You're rollin' up smilin', but you can't come close
'Cause my system is pumpin' loud
Like Rakim said: I wanna move the crowd
I warm it up with Kane, fight the power with PE
Tell the cops: you gots to chill with EPMD
This is something devastatin' that'll break your trunk
And remember, Uncle L is like the future of the funk

[Chorus]
(Cars ride by with the boomin' systems)
(Cars ride by with the boomin' systems)
(Cars ride by with the boomin' systems)
(Cars ride by with the boomin' systems)
(Cars ride by with the boomin' systems)
(Cars ride by with the boomin' systems)
(Cars ride by with the boomin' systems)
(Cars ride by with the boomin' systems)

[Outro]
You know what I'm sayin', word
So next time you're in your ride pumpin' it up
Just remember
It's cool
Peace"
24,Ice Ice Baby,Vanilla Ice,"October 20, 1990","[Intro]
Yo VIP, let's kick it

[Hook]
Ice ice baby
Ice ice baby

[Verse 1]
Alright stop, collaborate and listen
Ice is back with a brand new invention
Something grabs a hold of me tightly
Flow like a harpoon daily and nightly
""Will it ever stop?"" Yo I don't know
Turn off the lights and I'll glow
To the extreme, I rock a mic like a vandal
Light up a stage and wax a chump like a candle
Dance, rush the speaker that booms
I'm killing your brain like a poisonous mushroom
Deadly when I play a dope melody
Anything less than the best is a felony
Love it or leave it, you better gangway
You better hit the bullseye, the kid don't play
And if there was a problem, yo, I'll solve it
Check out the hook while my DJ revolves it

[Hook]
Ice ice baby Vanilla
Ice ice baby Vanilla
Ice ice baby Vanilla
Ice ice baby Vanilla

[Verse 2]
Now that the party is jumping
With the bass kicked in and the Vegas are pumping
Quick to the point to the point no faking
Cooking MCs like a pound of bacon
Burnin' them if you're not quick and nimble
I go crazy when I hear a cymbal
And a hi-hat with a souped up tempo
I'm on a roll, it's time to go solo
Rollin'
In my 5.0
With the rag-top down so my hair can blow
The girlies on standby waving just to say hi
“Did you stop?” No, I just drove by
Kept on pursuing to the next stop
I busted a left and I'm heading to the next block
The block was dead
Yo so I continued to A1A Beachfront Avenue
Girls were hot wearing less than bikinis
Rockman lovers driving Lamborghinis
Jealous 'cause I'm out getting mine
Shay with a gauge and Vanilla with a nine
Ready for the chumps on the wall
The chumps acting ill because they're full of eight ball
Gunshots raged out like a bell
I grabbed my nine all I heard were shells
Falling on the concrete real fast
Jumped in my car slammed on the gas
Bumper to bumper the avenue's packed
I'm trying to get away before the jackers jack
Police on the scene you know what I mean
They passed me up confronted all the dope fiends
If there was a problem yo I'll solve it
Check out the hook while my DJ revolves it

[Hook]
Ice ice baby Vanilla
Ice ice baby Vanilla
Ice ice baby Vanilla
Ice ice baby Vanilla

[Verse 3]
Take heed 'cause I'm a lyrical poet
Miami's on the scene just in case you didn't know it
My town that created all the bass sound
Enough to shake and kick holes in the ground
'Cause my style's like a chemical spill
Feasible rhymes that you can vision and feel
Conducted and formed, this is a hell of a concept
We make it hype and you want to step
With this.  Shay plays on the fade
Slice like a ninja, cut like a razor blade
So fast, other DJs say “Damn!”
If rhyme was a drug I'd sell it by the gram
Keep my composure when it's time to get loose
Magnetized by the mic while I kick my juice
If there was a problem yo I'll solve it
Check out the hook while my DJ revolves it

[Hook]
Ice ice baby Vanilla
Ice ice baby Vanilla
Ice ice baby Vanilla
Ice ice baby

Vanilla Iceeeee
[Outro]
Yo man, let's get out of here
Word to your mother

Ice ice baby, too cold
Ice ice baby, too cold
Ice ice baby, too cold
Ice ice baby, too cold too cold
Ice ice baby, too cold too cold
Ice ice baby, too cold too cold

Ice"
25,Knockin' Boots,Candyman,"October 27, 1990","(Tone Loc)
Attention all ladies
The Candyman is on the prowl
And for those that wanna get busy
You gots to speak up now

(Candyman)
This rhyme, this time
Is one of a kind, blowing yo mind
Like only the Candyman can
Like a heavyweight champion
Knockin'em out, another bout without a doubt
Once again you can scream and shout
When I rock the bells
Yell out my name
This is what you've been missing
Listen to my heart beat, while I'm whispering
I know your suffering
So sweet a Candyman sweet nothings
Hugging and tugging and rubbing
Loving it all, having a ball
All ya'll girlies next to me
Talking sex to me
We can't do that yet, but I bet will chill
(Candyman telling'em the truth)
Will still end up knockin the boots

(Chorus)
Ooh boy I love you so
Never ever ever gonna let you go
Once I get my hands on you

(Candyman)
At each and every show, thers's this groupie
Artis knows what she wants to do to me
She knows my name, knows every rap routine
But how she get in my limousine
Don't act fool, don't drool
I'm just a performer
I was cool but the room got warmer
Norma cornered me in
Her and a friend named Llynn, then
They checked me in to the Holiday Inn
I didn't let'em win, said my pockets was thin
She blew me a kiss
I knew she wasn't new to this
I didn't want to, but the devil made me do it
To the tick-tock ya don't stop
We knock boots till 6 o'clock, as we lay
All night long
And early in the morning she sang this song

(Chorus)
Ooh boy I love you so
Never ever ever gonna let you go
Once I get my hands on you
Ooh boy I love you so
Never ever ever gonna let you go
I hope you feel the same way too
(Girl I do)

(Candyman)
Tunnel of love is what I'm entering
When I mention it, you're surrending
Giving it up like a good girl has to
Living it up
Eventually you ask to stay
You're gonna pay for this
Just rest your breast on my chest, yes I'm impressed
With the way you cold love me down
I don't wanna sit down, I just wanna get down
I'm on the ground, down on my knees
Like James Brown singing Please, Please
Round two, I'm down to
Do, what it takes to make you
Understand I'm the Candyman
And I melt in your mouth, not in your hands
Hard as rock, yes I'm no sucka
The boots I knock make me one bad mutha
(Unh Unh...giggling) *2

Knockin, while I'm a hip-hoppin
Many people say my lyrics are shocking
Just because of the simple subject
Everyone should love this
Cause everybody does it
Whether they admit it or if they deny it
You betta keep quiet
Or else you might have to see a few skeletons
But girl, that's irrelevant
Break out the bottle of Asti Spumante
Pop off the top and rock wit my posse
Fila Al, Big Dill, and D Fly
We ask the questions, you give the reply
MC Chip, Big Rob and Bud
Rockin on the waterbed, knockin on the rugs
I'm just playing, what I'm saying ain't ill
Girl you should know I'm real
(Unh Unh..giggling) *2"
26,Monie in the Middle,Monie Love,"December 8, 1990","Brother what is with you, you can't take a hint?
I need to shove a splint between your eyes for you to see
You and me were never meant to be
Your homeboy likes me, I like him too, get out the picture
I get your point but I'm not rolling with the punch
I scrunched up the letter you wrote me in lunch
In 5th period I pay no notice to your motion
My work is on the table, my pen's in locomotion
Every time I turn around, you're looking at my face
I try to ignore you, the bell rings, I race out the room
Zoom to another room, sit down, what do you know?
The lover's in town
The other brother (Who?) The one I want to talk to
Sitting three seats back, and I'mma walk over to him
And give him the letter I wrote
Because my feelings towards him are brewing, ya know?

Monie in the middle (Where she at?) In the middle
Yep, Monie's in the middle (Where that at?) In the middle
Monie in the middle (Where she at?) In the middle
(Go Mon, Mon, what is she?) Monie in the middle (Repeat 2x)

In 7th the knucklehead walks in and sits down beside me
I said ""Yo, why you trying to ride me?""
Day in and day out I can't seem to get you off my back
What do you think I should do about that?
In fact it's embarrassing, what a buffoon
You even follow me in the ladies bathroom
Give me a break, I can't take it, the stakes are too high
Besides, there goes the other brother
I'm not Keith Sweat, so don't sweat me
The other brother's smooth approach is what gets me
He intrigues the Mon you know
So I suggest the course towards me you blow
You're wasting time pursuing Monie
Cause she's pursuing the lover only
And as my mother did she told me
Go for what you know, Mo, yo

Monie in the middle (Where she at?) In the middle
Yep, Monie's in the middle (Where that at?) In the middle
Monie in the middle (Where she at?) In the middle
(Go Mon, Mon, what is she?) Monie in the middle (Repeat 2x)

Bringing matters to a close and everybody knows
That I'm no longer in the middle
I made my decision, precisely, precision is a must
For me to solve another riddle
Step into a brand new rhythm,-ism schisms
Nope, I'm not with 'em, I've given
My undivided attention, you know what I'm saying?
No type of games I'm playing when

Monie in the middle (Where she at?) In the middle
Yep, Monie's in the middle (Where that at?) In the middle
Monie in the middle (Where she at?) In the middle
(Go Mon, Mon, what is she?) Monie in the middle (Repeat 4x)"
27,I'll Do 4 U,Father MC,"December 22, 1990","[Intro: Father MC + (singers)]
(Would you do for me)
Sweetheart
(Would you do for me)
I'm talking to you and no one else
I just want you to know...
(Would you do for me)
...that I'll do for you

[Hook (Repeat 4X)]
If you do for me
I will do for you

[Verse 1: Father MC]
Well, excuse me, let me let you know the time
On, how I feel and what's on my mind
It's you that I want to be in my life
And if it's possible, you will be my wife
I lead you in the right direction, of course
Never play you out, so there's no loss
I'll be your love daddy, just wait and see
That me and you, we were meant to be

[Hook: Singers + (Mary J. Blige ad-libs)]
If you do for me (I'll do)
I will do for you (For you)
If you do for me (I'll do...)
I will do for you (...I'll do for you)
If you do for me (I'll do)
I will do for you (For you...)
If you do for me
I will do for you

[Verse 2: Father MC]
I wanna treat ya like a queen
Cook and clean
Get your bubble bath ready so I can rub you with Noxzem'
And watch how gentle I'll be when I rub your back
And after that there's dinner and cognac
A little romance for the quiet storm
And a lotta lovin' for the whole night long
I'm gonna caress ya body and give you a kiss
And, uh, rub you down where you been missed
Nibble and your navel and kiss your thigh
Play with your hair 'cause I'm on a love-high
Well, I don't know, it's the way that I am
Introduce me to your mother and I'll say 'Hello, ma'am'
Well, I don't know, it's the way I was brought up
Respect my female and never get caught up
In another affair and I believe the same
If you try to be slick, then the doors will open

[Hook: Singers + (Mary J. Blige ad-libs)]
(I'll do) If you do for me
(For you) I will do for you
(I'll do it for you) If you do for me
(I'll do for you...) I will do for you
If you do for me
I will do for you
If you do for me
I will do for you

[Interlude: Father MC]
Yeah, you know, sweetheart
I told you once
And I don't feel I have to tell you anymore
It's you that I want
And it's you, that I'll do for

[Verse 3: Father MC]
Since we both know what we want, let's get it together
And fly like two birds of a feather
'Cause I'mma protect me and look out for my
Feelings and that's why I always try
To be loyal and gentle, lay and let
Observe the female in case I must leave camp
And if I have to break out, you don't deserve
To live a good life and love a black hummingbird
It may be sexy but it is true
If you try to adore me, then I'll adore you
But if you treat me right, then
I'll treat you with opens arms and a rose just to greet you
Love you dearly, respect and care for
You my dear, so how could you ignore
The way I feel is real from the start
So I stopped playing games and mastered the art

[Hook: Singers + (Mary J. Blige ad-libs)]
If you do for me
I will do for you (I'll do...)
If you do for me
I will do for you (...for you...)
If you do for me
I will do for you
If you do for me
I will do for you (I'll do for you)
If you do for me (I'll do...)
I will do for you (...for you)
If you do for me (I'll do...)
I will do for you (I'll do for you)
*fade*"
28,Around the Way Girl,LL Cool J,"January 12, 1991","[Intro: Sample]
You got me shook up, shook down, shook out
On your loving, your loving

[Verse 1]
I want a girl with extensions in her hair
Bamboo earrings, at least two pair
A Fendi bag and a bad attitude
That's all I need to get me in a good mood
She can walk with a switch and talk with street slang
I love it when a woman ain't scared to do her thing
Standing at the bus stop sucking on a lollipop
Once she gets pumping its hard to make the hottie stop
She likes to dance to the rap jams
She sweet as brown sugar with the candied yams
Honey coated complexion, using Camay
Let's hear it for the girl, she's from around the way

[Chorus]
I need an around the way, girl
Around the way, girl
That's the one for me
She's the only one for me
I need an around the way, girl
You got me shook up, shook down, shook out on your loving

[Verse 2]
Silky, milky, her smile is like sunshine
That's why I had to dedicate at least one rhyme
To all the cuties in the neighborhood
'Cause if I didn't tell you then another brother would
You're sweet like sugar with your gangster talk
Want to eat you like a cookie when I see you walk
With your rayon, silk or maybe even denim
It really doesn't matter as long as you're in 'em
You can break hearts and manipulate minds
Or surrender act tender be gentle and kind
You always know what to say and do
Cold flip when you think your man is playing you
Not cheap or petty, you're ready for loving
You're real independent so your parents be bugging
But if you ever need a place to stay
Come around my way

[Chorus]
I need an around the way, girl
Around the way, girl
That's the one for me
She's the only one for me (to the bridge)
I need an around the way, girl
You got me shook up, shook down, shook out on your loving

[Verse 3]
Perm in your hair or even a curly weave
Witcha New Edition Bobby Brown button on your sleeve
I tell you come here, you say meet me half way
'Cause brothers been popping that game all day
Around the way you're like a neighborhood jewel
All the homeboys sweat you so you're crazy cool
Wear your gold in the summer with your biking shorts
While you watching all the brothers on the basketball court
Going to the movies with your homegirl's crew
While the businessmen in suits be hawking you
Baby hair pumping, lip gloss is shining
I think you in the mood for wining and dining
So we can go out and eat somewhere
We got a lot of private jokes to share
Lisa, Angela, Pamela, Renee
I love you, you're from around the way

[Chorus]
I need an around the way, girl
Around the way, girl
That's the one for me
She's the only one for me
I need an around the way, girl
You got me shook up, shook down, shook out on your loving
I need an around the way, girl
Around the way, girl
That's the one for me
She's the only one for me
I need an around the way, girl
I'm asking you

[Outro]
You got me shook up, shook down, shook out on your loving
You got me shook up, shook down
You got me shook up, shook down, shook out on your loving
You got me shook up, shook down
You got me shook up, shook down, shook out on your loving
You got me shook up, shook down
You got me shook up, shook down, shook out on your loving
You got me shook up, shook down"
29,Gold Digger,EPMD,"February 9, 1991","[Intro]
Brothers, things done got too far gone (Tell 'em 'bout it)
We got ta let the girls know what they gotta do for us!

[Verse 1: Erick Sermon]
Oh, what the heck, let's get married and have a son named Erick
No big deal, no sweat
Hmmm, I was in for a big surprise
And when I saw the judge hammer pass my green eyes
Brainlocked, my whole damn head was malfunctional
'Cause I forgot to co-sign a prenuptial, agreement
Now her case is hard like cement
I have no files on all the money she spent
She has a car, nineteen ninety brand new Jaguar
Fly kit with chrome rims that's five star
That she bought, when I was away on tour
Hittin' my bank account, gettin' more and more money
She got paid, it wasn't funny
Talkin to myself—oh, you big, big dummy
Just my luck that I'm stuck with a marriage
And a baby who lays in a gold carriage
Now I can't leave, if I do she gets half (Not the cash)
Oh, yes, the whole damn bash of money
So I chill and act so sweet
Kiss her feet, can't picture bein' in the street
So I give a fake smile, and a fake laugh
Fake everything so I can keep all my cash
Fake talk, like, ""I love you so much""
But wishin' she gets hit by a Mack truck
Next time, if there's one, I'll know
That most women strictly out for the dough
They're called gold diggers

[Hook: Erick Sermon]
'Cause she's a gold digger
'Cause she's a gold digger
'Cause she's a gold digger
'Cause she's a gold digger

[Verse 2: Parrish Smith]
The P had a close call, quiet as kept I dated this
""Fly girl""
Yeah, and almost got vicked
She had green eyes, thunder thighs, and a def body (so what cha sayin'?)
Top it off, she drove a black Maserati
Chrome kit, with a smile I couldn't resist
I tapped E on the shoulder and said, ""Yeah I gots to get this""
(P, cool—she couldn't be a gold digger)
Not with that smile and that stupid boomin' figure
Til one day, she spent the crazy dough
Ten Gs on Levi's, cold went Rambo
But then she smiled, gave me a back massage
Gassed my head up, and said (Oh, P, you're so large)
Like a jerk, I went for the line like a fish
But she was far from dream girl, and more like a death wish
She likes to sit back, lamp, walk on plush rugs
Whip my five-sixty, sip Moet and bug (So did you flip?)
Tried to but she cut me off
And said, ""Guess what?"" (What?)
""I'm pregnant"" (Pregnant? Damn)
Yeah, and the child is yours
So to fellas who wanna keep they cash
Or beware of the jack hammer and the helmet that glows
'Cause she's a gold digger

[Hook: Parrish Smith]
'Cause she's a gold digger
She's a gold digger
She's a gold digger
She's a gold digger

[Verse 3: Erick Sermon + Parrish Smith]
That's why, men in the 90s must watch themselves
'Cause ladies of the 80s got hip and went for self
With the new divorce laws, which entitles them half
That means the house goes,—
—The car,—
—You, and half your cash
What a price to pay, but if you play you pay
'Cause women of the world they got smart today
They flash a smile and profile,—
—A pucker with a strut,—
—Try to move in—
—Knock the boots
And got stuck, with alimony payments
Time to meet Judge Wapner
You try to flip and cut, but she smiles 'cause she gotcha
You get a flashback to wedding, when you vowed the vow
Said the two deadly words—
—""I do""
But look now; you lost the house,—
—The car
Eatin' TV dinners in a one bedroom apartment
Boy, you picked a winner
But what goes around, comes around
That's why she wheels the Benz
And you ride Greyhound
Oh, just your luck, they on strike
Take off the wedding band, put out the thumb, time to hitch-hike
And the more you walk the pain from your corns get bigger
(Now you know)
Not to mess with a gold digger

[Hook: Erick Sermon]
'Cause she's a gold digger
'Cause she's a gold digger
'Cause she's a gold digger
'Cause she's a gold digger

[Outro: Erick Sermon + Parrish Smith]
Yeah, EPMD's in effect, DJ Scratch runs flex, boy
Hit Squad in effect in the house
Large!!
Yeah, she get half"
30,Treat 'Em Right,Chubb Rock,"March 2, 1991","[Verse One]
Nineteen ninety, Chubb Rock jumps up on the scene
With a lean and a pocket full of green
The green doesn't symbolize I made it on the top
But Robocop last year was a shock
The tone of the Popeye cut shook your butt
Kids are screaming; the media says, ""What...
Kind of music is this for you to dance to?""
The man with the plan and the man demands you
Leave the smack and the crack for the wack
Throw the vial in the Nile; keep a smile like that
Leave the knife and the gun in the store
And ignore temptation, sent by the nation
Racial gain causes pain; need a new rep
In your hearts and minds never forget Yusef
Hawkins, and when you're walking, you don't just run
Black on black; remember that; it's important
Anyway the struggle is won, brings forth the fun
No hatred; the summer's almost done
No time for sleep, jump in your Jeep
And pump up the funky beat a whole week
Beeper goes off, yo, smash it and trash it
You're too young to be plumped in a casket
Just get your boys and bring the noise
And just swing it, and party people, sing it

[Chorus]
Treat me right, I'll treat you good

[Verse Two]
Kids in the crib want dibs on the big man
""Can he come out? Can he come out and slam a jam?
I'm his number one fan, yes I am""
All these kids realize that I'm the man
Six foot three and maybe a quarter of an inch bigger
Than last year, but still a unique figure
Rob Swinger, Doc No, Dinky, and Hot Dog know
That I'm a man who was born to have a mic on
Next to me at all times, ready to kick a rhyme
That will keep me out of financial bind
That's why when it comes to fans, I'm never mean
Kids on St. James between Gates and Greene
Always says hello, cause I'm a modest fellow
Never try to play a superstar, that's hollow
Cause if these kids don't go buy our records
We'll be has-beens, and plus naked
So we owe them, so pull out your pen
Sign an autograph, you might make a new friend
So just get your boys and bring the noise and just swing it
And party people in the house, sing it

[Chorus]

[Verse Three]
Party people in the house, listen up
I'm the man with the plan and the band rips it up
Peace to Howie Tee, good lookin', gee
Swinger, Hot Dog, Doc No, Bud, Ed Lover, Dinky
Fish and chips with the hippy hippy hips
Before the tune ends, give me some lips (ah!)
Sanity Crystal, my niece
And Lady Kazam, my homegirl, peace
And leave the guns and have fun; out!
And oh yeah, sing it

[Chorus]

[Instrumental Break]

[Verse Four]
Well, coming back
To nineteen ninety, Chubb Rock jumps up on the scene
With a lean and a hardcore dream
The dream wasn't crafted to be pornographic
Decency started from the crib, plus kids
Don't need to hear all of that on the rap
The strength of my vibe placed Chubbs on the map
Cause authority, seniority goes far
My staff gives autographs plus gives nuff laughs
Read my mic, heed my sight, I'll definitely lead you right
Just treat me right, peace!

[Outro]
Treat me right
Treat me right
Treat me right"
